ticker,shock,name,sector,shock_pct,absolute_impact_pct
INFY.NS,-0.2716210091461967,Infosys,IT,-27.162100914619668,27.162100914619668
TCS.NS,-0.2683930326059049,TCS,IT,-26.83930326059049,26.83930326059049
HCLTECH.NS,-0.26540142286061374,HCL Tech,IT,-26.540142286061375,26.540142286061375
WIPRO.NS,-0.2582916723560226,Wipro,IT,-25.829167235602256,25.829167235602256
^NSEI,-0.1177635695562825,NIFTY 50,Market,-11.77635695562825,11.77635695562825
^NSEBANK,-0.004841484699356649,Bank Nifty,Banking,-0.4841484699356649,0.4841484699356649
HDFCBANK.NS,-0.003461205578876749,HDFC Bank,Banking,-0.3461205578876749,0.3461205578876749
ICICIBANK.NS,-0.0033397312818762,ICICI Bank,Banking,-0.33397312818762004,0.33397312818762004
RELIANCE.NS,-0.0032929228715137386,Reliance,Energy,-0.3292922871513739,0.3292922871513739
DLF.NS,-0.0032390165393398783,DLF,Realty,-0.32390165393398784,0.32390165393398784
SBIN.NS,-0.0031731756932898594,SBI,Banking,-0.3173175693289859,0.3173175693289859
BAJAJFINSV.NS,-0.003101435209960617,Bajaj Finserv,NBFC,-0.3101435209960617,0.3101435209960617
BAJFINANCE.NS,-0.003057354889167241,Bajaj Finance,NBFC,-0.3057354889167241,0.3057354889167241
AXISBANK.NS,-0.0030381534132304182,Axis Bank,Banking,-0.30381534132304183,0.30381534132304183
M&M.NS,-0.002863032722834175,Mahindra & Mahindra,Auto,-0.2863032722834175,0.2863032722834175
GODREJPROP.NS,-0.002821584365326445,Godrej Properties,Realty,-0.2821584365326445,0.2821584365326445
TMPV.NS,-0.0027877902583862534,Tata Motors Passenger Vehicles,Auto,-0.27877902583862535,0.27877902583862535
MARUTI.NS,-0.0024968150202129063,Maruti Suzuki,Auto,-0.24968150202129064,0.24968150202129064
ITC.NS,-0.0022008967028702524,ITC,FMCG,-0.22008967028702525,0.22008967028702525
INR=X,0.000508029957511723,USD/INR,Macro,0.0508029957511723,0.0508029957511723
CL=F,0.0,Crude Oil,Energy,0.0,0.0
GC=F,0.0,Gold,Safe Haven,0.0,0.0
ONGC.NS,0.0,ONGC,Energy,0.0,0.0
SUNPHARMA.NS,0.0,Sun Pharma,Pharma,0.0,0.0
DRREDDY.NS,0.0,Dr Reddy's,Pharma,0.0,0.0
HINDUNILVR.NS,0.0,Hindustan Unilever,FMCG,0.0,0.0
